date,date,min_day,max_day,mean_day
2021-05-01,2021-05-01,8.2,27.4,17.498958333333334
2021-05-02,2021-05-02,14.4,29.6,21.138541666666665
2021-05-03,2021-05-03,16.8,30.1,21.984375
2021-05-04,2021-05-04,10.3,18.3,13.811458333333334
2021-05-05,2021-05-05,4.8,18.6,11.042708333333332
2021-05-06,2021-05-06,0.3,20.1,8.589583333333334
2021-05-07,2021-05-07,-0.4,19.7,8.890625
2021-05-08,2021-05-08,2.7,20.7,11.578125
2021-05-09,2021-05-09,4.6,22.6,12.714583333333332
2021-05-10,2021-05-10,4.1,17.3,11.357291666666667
2021-05-11,2021-05-11,-1.2,19.0,7.758333333333333
2021-05-12,2021-05-12,-2.0,20.8,9.583333333333334
2021-05-13,2021-05-13,2.8,22.0,11.61875
2021-05-14,2021-05-14,-1.6,22.4,9.141666666666667
2021-05-15,2021-05-15,0.4,21.6,10.236458333333333
2021-05-16,2021-05-16,3.9,25.0,13.317708333333334
2021-05-17,2021-05-17,4.4,22.2,12.090625000000001
2021-05-18,2021-05-18,3.8,21.5,12.4125
2021-05-19,2021-05-19,7.5,20.0,13.726041666666667
2021-05-20,2021-05-20,12.0,16.0,13.234375
2021-05-21,2021-05-21,10.9,13.5,12.413541666666667
2021-05-22,2021-05-22,10.5,12.3,11.353125
2021-05-23,2021-05-23,5.9,16.5,11.372916666666667
2021-05-24,2021-05-24,4.5,20.6,11.776041666666666
2021-05-25,2021-05-25,5.5,22.3,12.438541666666666
2021-05-26,2021-05-26,1.7,23.5,11.983333333333334
2021-05-27,2021-05-27,8.1,24.2,15.74375
2021-05-28,2021-05-28,7.9,22.3,14.331249999999999
2021-05-29,2021-05-29,3.6,17.2,10.885416666666666
2021-05-30,2021-05-30,1.1,19.1,9.893749999999999
2021-05-31,2021-05-31,7.0,23.4,13.9625
2021-06-01,2021-06-01,8.4,21.1,14.047916666666666
2021-06-02,2021-06-02,6.4,21.5,12.401041666666666
2021-06-03,2021-06-03,5.9,23.4,13.633333333333333
2021-06-04,2021-06-04,11.2,25.7,18.008333333333333
2021-06-05,2021-06-05,5.9,20.1,14.882291666666667
2021-06-06,2021-06-06,1.8,16.5,8.145833333333334
2021-06-07,2021-06-07,1.3,18.3,10.017708333333333
2021-06-08,2021-06-08,8.0,20.8,13.347916666666668
2021-06-09,2021-06-09,8.8,22.1,14.883333333333333
2021-06-10,2021-06-10,4.5,22.9,14.353125
2021-06-11,2021-06-11,0.2,19.7,9.878124999999999
2021-06-12,2021-06-12,4.1,23.9,14.527083333333332
2021-06-13,2021-06-13,9.1,22.8,15.036458333333334
2021-06-14,2021-06-14,5.0,17.7,11.167708333333332
2021-06-15,2021-06-15,2.4,13.4,7.219791666666667
2021-06-16,2021-06-16,0.8,9.9,5.496875
2021-06-17,2021-06-17,3.7,11.6,7.363541666666666
2021-06-18,2021-06-18,-2.2,13.8,4.934375
2021-06-19,2021-06-19,-0.1,14.6,6.492708333333333
2021-06-20,2021-06-20,-1.4,15.9,5.9156249999999995
2021-06-21,2021-06-21,2.8,14.6,8.178125
2021-06-22,2021-06-22,2.8,17.1,9.285416666666666
2021-06-23,2021-06-23,10.7,16.4,13.197916666666666
2021-06-24,2021-06-24,3.4,17.5,11.142708333333333
2021-06-25,2021-06-25,1.2,19.3,10.032291666666667
2021-06-26,2021-06-26,5.0,12.8,8.588541666666666
2021-06-27,2021-06-27,-0.2,9.6,4.483333333333333
2021-06-28,2021-06-28,-2.1,8.6,4.292708333333334
2021-06-29,2021-06-29,-3.7,12.5,2.922916666666666
2021-06-30,2021-06-30,-1.8,14.0,5.5093749999999995
2021-07-01,2021-07-01,3.2,16.8,8.669791666666667
2021-07-02,2021-07-02,-2.2,19.4,6.741666666666667
2021-07-03,2021-07-03,-5.2,18.2,5.730208333333334
2021-07-04,2021-07-04,-1.7,17.7,7.01875
2021-07-05,2021-07-05,-1.0,20.0,8.441666666666666
2021-07-06,2021-07-06,2.7,22.2,12.229166666666666
2021-07-07,2021-07-07,9.8,25.1,17.054166666666667
2021-07-08,2021-07-08,6.4,23.6,14.372916666666667
2021-07-09,2021-07-09,15.0,27.0,19.791666666666668
2021-07-10,2021-07-10,-0.2,18.0,12.581249999999999
2021-07-11,2021-07-11,-4.6,17.6,6.89375
2021-07-12,2021-07-12,9.7,24.2,15.780208333333334
2021-07-13,2021-07-13,11.2,16.2,13.882291666666667
2021-07-14,2021-07-14,8.4,11.0,9.753124999999999
2021-07-15,2021-07-15,2.5,16.7,9.703125
2021-07-16,2021-07-16,0.7,15.7,7.844791666666667
2021-07-17,2021-07-17,3.6,14.0,8.088541666666666
2021-07-18,2021-07-18,0.0,13.5,5.503125
2021-07-19,2021-07-19,-3.0,15.7,5.680208333333333
2021-07-20,2021-07-20,2.5,18.8,9.65
2021-07-21,2021-07-21,4.7,20.2,11.090625000000001
2021-07-22,2021-07-22,1.0,22.5,11.914583333333333
2021-07-23,2021-07-23,4.8,27.4,15.352083333333333
2021-07-24,2021-07-24,11.6,23.6,16.360416666666666
2021-07-25,2021-07-25,7.7,18.4,12.56875
2021-07-26,2021-07-26,1.7,18.5,9.527083333333334
2021-07-27,2021-07-27,-1.7,14.0,4.970833333333333
2021-07-28,2021-07-28,-1.1,12.4,4.110416666666667
2021-07-29,2021-07-29,-3.3,15.7,5.4437500000000005
2021-07-30,2021-07-30,1.2,16.6,8.257291666666667
2021-07-31,2021-07-31,-0.1,19.9,9.052083333333334
2021-08-01,2021-08-01,-1.2,19.7,8.397916666666667
2021-08-02,2021-08-02,0.1,19.4,9.486458333333333
2021-08-03,2021-08-03,1.7,20.0,10.269791666666666
2021-08-04,2021-08-04,-0.3,21.6,10.043750000000001
2021-08-05,2021-08-05,2.0,19.8,9.819791666666667
2021-08-06,2021-08-06,7.6,25.0,15.215625000000001
2021-08-07,2021-08-07,8.7,28.6,17.732291666666665
2021-08-08,2021-08-08,7.5,18.4,12.695833333333333
2021-08-09,2021-08-09,1.6,13.9,8.073958333333334
2021-08-10,2021-08-10,-3.2,14.0,4.46875
2021-08-11,2021-08-11,-2.4,18.7,6.905208333333333
2021-08-12,2021-08-12,0.3,17.2,7.3999999999999995
2021-08-13,2021-08-13,0.2,17.4,7.536458333333333
2021-08-14,2021-08-14,0.2,19.5,8.308333333333334
2021-08-15,2021-08-15,0.0,20.2,9.741666666666667
2021-08-16,2021-08-16,6.5,24.5,14.487499999999999
2021-08-17,2021-08-17,7.5,27.2,16.816666666666666
2021-08-18,2021-08-18,10.4,29.4,18.974999999999998
2021-08-19,2021-08-19,8.0,21.7,16.346875
2021-08-20,2021-08-20,6.5,22.9,13.222916666666668
2021-08-21,2021-08-21,3.6,18.8,11.494791666666666
2021-08-22,2021-08-22,2.8,22.8,12.245833333333332
2021-08-23,2021-08-23,2.3,19.4,9.552083333333334
2021-08-24,2021-08-24,0.4,19.6,9.060416666666667
2021-08-25,2021-08-25,0.0,20.3,9.520833333333334
2021-08-26,2021-08-26,-1.1,22.9,11.896875
2021-08-27,2021-08-27,0.6,22.0,12.533333333333333
2021-08-28,2021-08-28,6.3,25.2,14.103125
2021-08-29,2021-08-29,2.9,26.9,15.021875
2021-08-30,2021-08-30,5.7,29.6,18.538541666666667
2021-08-31,2021-08-31,16.3,31.0,23.243750000000002
2021-09-01,2021-09-01,16.0,25.7,19.306250000000002
2021-09-02,2021-09-02,14.1,16.0,15.208333333333334
2021-09-03,2021-09-03,13.8,18.0,15.586458333333333
2021-09-04,2021-09-04,13.4,21.1,16.539583333333333
2021-09-05,2021-09-05,12.1,17.9,14.696875
2021-09-06,2021-09-06,11.9,19.7,15.484375
2021-09-07,2021-09-07,14.5,18.3,15.882291666666667
2021-09-08,2021-09-08,11.9,15.8,13.636458333333332
2021-09-09,2021-09-09,10.8,16.8,13.057291666666666
2021-09-10,2021-09-10,8.8,19.4,12.928125
2021-09-11,2021-09-11,6.4,22.6,15.091666666666667
2021-09-12,2021-09-12,15.2,29.1,20.357291666666665
2021-09-13,2021-09-13,13.0,22.2,17.382291666666667
2021-09-14,2021-09-14,5.3,19.9,12.501041666666666
2021-09-15,2021-09-15,-0.4,24.0,12.670833333333334
2021-09-16,2021-09-16,2.7,25.3,15.5875
2021-09-17,2021-09-17,7.0,26.6,16.473958333333332
2021-09-18,2021-09-18,8.0,27.8,17.961458333333333
2021-09-19,2021-09-19,10.4,24.3,17.655208333333334
2021-09-20,2021-09-20,10.6,23.1,17.419791666666665
2021-09-21,2021-09-21,3.3,19.5,12.231250000000001
2021-09-22,2021-09-22,6.3,14.2,10.248958333333333
2021-09-23,2021-09-23,6.9,22.5,13.857291666666667
2021-09-24,2021-09-24,4.9,24.9,15.143749999999999
2021-09-25,2021-09-25,6.0,25.6,16.235416666666666
2021-09-26,2021-09-26,9.6,29.8,19.746875
2021-09-27,2021-09-27,12.5,28.6,18.51157894736842
2021-09-28,2021-09-28,10.4,17.2,14.077083333333334
2021-09-29,2021-09-29,11.8,24.2,17.29375
2021-09-30,2021-09-30,9.6,19.7,16.664210526315788
2021-10-01,2021-10-01,5.8,25.8,15.540625
2021-10-02,2021-10-02,8.5,20.4,14.913541666666667
2021-10-03,2021-10-03,4.8,21.1,12.239583333333334
2021-10-04,2021-10-04,0.5,25.9,13.884375
2021-10-05,2021-10-05,6.9,25.2,16.084374999999998
2021-10-06,2021-10-06,5.6,21.3,13.747916666666667
2021-10-07,2021-10-07,2.5,21.1,12.043750000000001
